iter	Logloss
0	0.6894154317
1	0.6860832427
2	0.682831657
3	0.6797598307
4	0.6769318383
5	0.6741054165
6	0.669398882
7	0.6647040471
8	0.6621291608
9	0.6589625709
10	0.6545537234
11	0.6504956684
12	0.6468909889
13	0.6431923436
14	0.6409943786
15	0.6381210494
16	0.6363603845
17	0.6344686731
18	0.6326876411
19	0.6310820432
20	0.6287838805
21	0.6259465066
22	0.6232667529
23	0.6208750864
24	0.6188482552
25	0.6174856596
26	0.6152676634
27	0.6132703792
28	0.6117106471
29	0.6100240931
30	0.6084713656
31	0.6066927356
32	0.6053845055
33	0.6041472116
34	0.5991685225
35	0.5980549092
36	0.5934471278
37	0.5926669384
38	0.5915422136
39	0.5902091482
40	0.5886518685
41	0.5846600045
42	0.5836627649
43	0.5824514065
44	0.5813123785
45	0.5774023691
46	0.5766074314
47	0.5755341492
48	0.5738184262
49	0.5725981315
50	0.5717412274
51	0.5681129347
52	0.5671821255
53	0.5662673117
54	0.5635364262
55	0.5628059829
56	0.5596393678
57	0.5580816556
58	0.5573335957
59	0.5563982386
60	0.5557893426
61	0.552563537
62	0.5519084014
63	0.5512491043
64	0.5507593453
65	0.5481891749
66	0.5468110752
67	0.5461664969
68	0.5454418614
69	0.54459685
70	0.5438739194
71	0.5435249284
72	0.5430293406
73	0.5424348948
74	0.5419736161
75	0.5414959093
76	0.5410776703
77	0.5399546
78	0.5394751883
79	0.5390323449
80	0.536160599
81	0.5347586886
82	0.5321246202
83	0.5316579831
84	0.5304583116
85	0.5298689218
86	0.5292742744
87	0.5273086957
88	0.5263597072
89	0.5256475355
90	0.5251772532
91	0.5248098815
92	0.523541491
93	0.5217085628
94	0.5212190222
95	0.5191880882
96	0.5185384706
97	0.5176303256
98	0.5170344351
99	0.5166211681
100	0.5151487499
101	0.5148354034
102	0.5136559142
103	0.5123537816
104	0.5108880866
105	0.5103817021
106	0.5097701479
107	0.509480843
108	0.5085079096
109	0.507917239
110	0.5067842372
111	0.5060517529
112	0.5051870296
113	0.5038864802
114	0.5025876608
115	0.5021459513
116	0.5016990598
117	0.5008412571
118	0.4991468838
119	0.4986472184
120	0.4975166228
121	0.4971557685
122	0.4959837584
123	0.4950400948
124	0.4939735275
125	0.4928446914
126	0.4917007879
127	0.4912261383
128	0.4901632958
129	0.4892431404
130	0.4885592558
131	0.4881907838
132	0.4866245426
133	0.4862166047
134	0.4852143595
135	0.4846173688
136	0.4835795085
137	0.4832156978
138	0.4820774089
139	0.4810390447
140	0.4785272586
141	0.4772769927
142	0.4754644232
143	0.4739137492
144	0.4721292149
145	0.4709838626
146	0.470034597
147	0.4697077494
148	0.4691929032
149	0.4679035535
150	0.466961154
151	0.4657528107
152	0.4640943423
153	0.4630199388
154	0.4616054219
155	0.4608035804
156	0.4594788592
157	0.4587065269
158	0.4578640352
159	0.4572204564
160	0.4558335337
161	0.4548201601
162	0.4539556258
163	0.4528685947
164	0.4527036423
165	0.4517449281
166	0.4513531956
167	0.4509989974
168	0.4507203379
169	0.449855707
170	0.4491029187
171	0.4476394157
172	0.4473531848
173	0.4458184055
174	0.4447419947
175	0.44341501
176	0.4424897608
177	0.441943944
178	0.4415675939
179	0.4403281373
180	0.440010688
181	0.4392656139
182	0.4382637929
183	0.4379996381
184	0.4378603273
185	0.4372382116
186	0.4360426639
187	0.4353978505
188	0.4348625112
189	0.4345653366
190	0.4341676242
191	0.4333238139
192	0.43215025
193	0.4314305781
194	0.430771491
195	0.4298673437
196	0.4292378623
197	0.4281704214
198	0.4271349968
199	0.4265184831
200	0.4252134529
201	0.4243475916
202	0.4239583283
203	0.4234533633
204	0.4224494131
205	0.4222998012
206	0.4215885197
207	0.4207959504
208	0.4203308335
209	0.4201597626
210	0.4192270342
211	0.4187246854
212	0.4178459991
213	0.4174218725
214	0.4170813517
215	0.4162590423
216	0.4160482829
217	0.4156072579
218	0.4146009434
219	0.4140102183
220	0.4137609714
221	0.4131751763
222	0.4122276955
223	0.4115441888
224	0.4106717974
225	0.4103204379
226	0.4099662313
227	0.4092588259
228	0.408576936
229	0.407593546
230	0.4067428697
231	0.4066419876
232	0.4057534705
233	0.4053283738
234	0.4045752075
235	0.4039742568
236	0.4033065567
237	0.4027056858
238	0.4019953198
239	0.4016609007
240	0.400191569
241	0.3994975932
242	0.3986326641
243	0.3978545534
244	0.3971052884
245	0.3965088646
246	0.3958355079
247	0.395331303
248	0.3945242584
249	0.394175553
250	0.3937103646
251	0.3930047271
252	0.3925131623
253	0.3919406122
254	0.3912725425
255	0.3907620846
256	0.3901753615
257	0.3897665837
258	0.3892390972
259	0.3885302304
260	0.3877809234
261	0.3869644973
262	0.3866632535
263	0.3859820271
264	0.3855994745
265	0.3853357691
266	0.3848011143
267	0.3840576528
268	0.3836018039
269	0.3830778366
270	0.3829069001
271	0.3823038077
272	0.3820078845
273	0.3813684043
274	0.3808526132
275	0.3802857239
276	0.3797132325
277	0.3794567039
278	0.3790216126
279	0.3788696994
280	0.3782799737
281	0.3779839497
282	0.3776513405
283	0.3771564162
284	0.3766800785
285	0.3762326704
286	0.3757991833
287	0.3752252347
288	0.3748756894
289	0.3745896096
290	0.3742823228
291	0.3741022946
292	0.3737860757
293	0.3733863812
294	0.3731430177
295	0.3728688641
296	0.3724479794
297	0.3720952468
298	0.3718338468
299	0.3714604363
300	0.3711214861
301	0.3705991775
302	0.3700378482
303	0.3696722821
304	0.3691171469
305	0.3688598414
306	0.3685436435
307	0.3680186725
308	0.367523849
309	0.367301768
310	0.367220833
311	0.3667304231
312	0.3664388
313	0.3659079499
314	0.3656121107
315	0.3651311452
316	0.3639405822
317	0.3634526037
318	0.362975741
319	0.3627242223
320	0.3622373734
321	0.3617483913
322	0.3613124811
323	0.3610253179
324	0.3605496184
325	0.3602539934
326	0.3597931472
327	0.3593519122
328	0.3591475359
329	0.3586981499
330	0.3584914471
331	0.358139126
332	0.3576225328
333	0.3573405306
334	0.3569459048
335	0.3566180241
336	0.3562644222
337	0.3559165105
338	0.3554804869
339	0.3552948651
340	0.355072213
341	0.35407591
342	0.3538816752
343	0.3534658634
344	0.3530306503
345	0.3526183156
346	0.3521695805
347	0.3519875156
348	0.3517677653
349	0.3513684235
350	0.3508977339
351	0.3507358135
352	0.3502902952
353	0.350125326
354	0.3498007083
355	0.3494731049
356	0.3493216074
357	0.3488126781
358	0.3485604244
359	0.3483965303
360	0.3482760916
361	0.3481575215
362	0.3479420378
363	0.3476614298
364	0.3472594592
365	0.3469161836
366	0.3465329339
367	0.3461762412
368	0.3458917194
369	0.3455333259
370	0.3451850488
371	0.3448853042
372	0.3445742799
373	0.3444250375
374	0.3441664386
375	0.3439477129
376	0.3436407453
377	0.3433489417
378	0.3431151696
379	0.3428823382
380	0.3425151302
381	0.3422951783
382	0.3418894114
383	0.3416409624
384	0.3412868314
385	0.3409772517
386	0.3406744919
387	0.340397781
388	0.3401316441
389	0.3398442877
390	0.3396005042
391	0.3393642208
392	0.3390975506
393	0.3388908689
394	0.3386168623
395	0.3385115876
396	0.3382930551
397	0.3381221858
398	0.3379040271
399	0.3378223362
400	0.3374085232
401	0.3371589992
402	0.3367362794
403	0.3363674546
404	0.3361219704
405	0.3359145621
406	0.3356503822
407	0.3355240223
408	0.3353434355
409	0.3350273132
410	0.3348193128
411	0.3345120512
412	0.3342031351
413	0.3340452881
414	0.333877602
415	0.3335587878
416	0.3334353045
417	0.3331301468
418	0.3328535325
419	0.3326980204
420	0.332549622
421	0.3324098367
422	0.3321689088
423	0.3318895732
424	0.3317314281
425	0.3315395239
426	0.3314416654
427	0.3312350634
428	0.3309200203
429	0.330771643
430	0.3306696438
431	0.3304854204
432	0.3302939782
433	0.3299594121
434	0.3296731434
435	0.3293626818
436	0.3291828216
437	0.3289167141
438	0.3287807544
439	0.328512564
440	0.3282775405
441	0.3280364195
442	0.3278373092
443	0.3275724993
444	0.3274313954
445	0.3273072947
446	0.3271816613
447	0.3269847851
448	0.3268569093
449	0.3267608522
450	0.3264900582
451	0.3260107977
452	0.3258816872
453	0.3256182337
454	0.3255161254
455	0.3253018973
456	0.325049673
457	0.3245670026
458	0.3244242692
459	0.324339181
460	0.3241186706
461	0.323830743
462	0.3236782545
463	0.3234698846
464	0.3233837801
465	0.3231863034
466	0.3230814444
467	0.3229786263
468	0.3228446991
469	0.3226086509
470	0.3224312852
471	0.3222684409
472	0.3221644386
473	0.3219870938
474	0.3217188572
475	0.3215946138
476	0.3215126122
477	0.3212625926
478	0.3210986733
479	0.3209138872
480	0.3206708218
481	0.3204723498
482	0.3203031771
483	0.3201684058
484	0.320001845
485	0.3197728897
486	0.3195611854
487	0.3194285852
488	0.3191357779
489	0.3190270723
490	0.3189088173
491	0.3188281384
492	0.3187509115
493	0.3186678432
494	0.3185393668
495	0.318420339
496	0.3182537783
497	0.3179811198
498	0.3179059421
499	0.3177335652
500	0.3175412874
501	0.3173653746
502	0.3171691955
503	0.3170313461
504	0.3168616358
505	0.3167143587
506	0.3164779997
507	0.3164125899
508	0.3161474525
509	0.3160751473
510	0.3159253799
511	0.3157216461
512	0.3156437557
513	0.3155078757
514	0.3152374051
515	0.3150352461
516	0.3147985554
517	0.3146276693
518	0.3145559057
519	0.3144067095
520	0.3142964921
521	0.314118656
522	0.3139602631
523	0.313792115
524	0.3136577174
525	0.3134990306
526	0.3134394957
527	0.3133612567
528	0.313131453
529	0.3129902693
530	0.3127788925
531	0.3126140326
532	0.3125150569
533	0.3123450233
534	0.3121793738
535	0.3119767991
536	0.3118105701
537	0.311727065
538	0.3109206042
539	0.3107886759
540	0.3106008326
541	0.3105235301
542	0.3104087605
543	0.3102819303
544	0.3101095912
545	0.3099451973
546	0.3097888495
547	0.3096594535
548	0.3084712841
549	0.3082892234
550	0.3082426521
551	0.3081746932
552	0.3080774939
553	0.3079461074
554	0.3077476438
555	0.3076160683
556	0.307474326
557	0.3066205127
558	0.306524653
559	0.3064742435
560	0.3057607447
561	0.3056472853
562	0.3054694366
563	0.3053155035
564	0.3051800183
565	0.304991184
566	0.3048308005
567	0.3046563197
568	0.3044702402
569	0.3043603755
570	0.3042290142
571	0.3040869149
572	0.3039561163
573	0.3038992228
574	0.3037666184
575	0.3034052182
576	0.3033162455
577	0.3031706356
578	0.3030526325
579	0.3029177562
580	0.3027422886
581	0.3026386642
582	0.3025718854
583	0.3024569479
584	0.3022913698
585	0.3021435594
586	0.3019877281
587	0.3018256901
588	0.3016581257
589	0.3015506589
590	0.3014509316
591	0.3014033314
592	0.3010804523
593	0.3008861419
594	0.300684218
595	0.3005822567
596	0.30045268
597	0.3003049074
598	0.3001018833
599	0.2999968143
600	0.2999219013
601	0.2998250421
602	0.2994943143
603	0.2987905246
604	0.2986178411
605	0.2984738269
606	0.2983859209
607	0.2982323657
608	0.2981189484
609	0.2979533703
610	0.2977341785
611	0.2976088811
612	0.2974870187
613	0.2968140316
614	0.2967194527
615	0.296625172
616	0.2965180748
617	0.2963967248
618	0.2962400872
619	0.2961261827
620	0.2959959048
621	0.2958960221
622	0.2957986632
623	0.2957476867
624	0.2954251898
625	0.295331413
626	0.2951600859
627	0.2950530559
628	0.2948944572
629	0.2947894092
630	0.2947026287
631	0.2946468691
632	0.2945376511
633	0.2943652868
634	0.2937057797
635	0.2935798314
636	0.2934151855
637	0.2932652334
638	0.293166262
639	0.293120497
640	0.2929535121
641	0.2928594204
642	0.2922471565
643	0.2921212627
644	0.2914134059
645	0.2911571775
646	0.2910690762
647	0.2909846431
648	0.2908797799
649	0.2907306362
650	0.2905865086
651	0.2905453713
652	0.2904618999
653	0.2903439241
654	0.2902910159
655	0.2902043403
656	0.290129339
657	0.2899929825
658	0.2893597279
659	0.2892014064
660	0.2891066869
661	0.288996186
662	0.288898888
663	0.2888426455
664	0.2886647002
665	0.2880543848
666	0.2879198697
667	0.2878326482
668	0.2876854719
669	0.2875301025
670	0.2874789161
671	0.2873717495
672	0.2872093
673	0.2871326967
674	0.2870615967
675	0.2869274343
676	0.2863826212
677	0.2863420046
678	0.2862678075
679	0.2861561665
680	0.2860248954
681	0.2859516411
682	0.2858746514
683	0.2857182574
684	0.285616294
685	0.2854701696
686	0.2853715551
687	0.2852123769
688	0.2851227387
689	0.2850154818
690	0.2849396155
691	0.2848433086
692	0.2847065195
693	0.2846443117
694	0.2845755844
695	0.2844415816
696	0.2843045174
697	0.2838014484
698	0.2837544991
699	0.2836260269
700	0.2835496084
701	0.2834339065
702	0.2833187275
703	0.2832009785
704	0.2831312517
705	0.2830201545
706	0.2828991174
707	0.2826805387
708	0.2826076455
709	0.2825388048
710	0.2824154874
711	0.2823458697
712	0.2822549612
713	0.2821323954
714	0.2820277611
715	0.2819539252
716	0.2814977215
717	0.2813898305
718	0.2813525567
719	0.2812404894
720	0.2811563461
721	0.281059951
722	0.2810012938
723	0.2808971781
724	0.2808175008
725	0.2803274751
726	0.2801787198
727	0.2801315102
728	0.2800029876
729	0.2798326075
730	0.2789094286
731	0.2780489005
732	0.2772465299
733	0.2764985036
734	0.2757751132
735	0.2749549518
736	0.2748944826
737	0.2741305091
738	0.2734181946
739	0.2733530577
740	0.2726892924
741	0.2726173651
742	0.2725039835
743	0.2718857774
744	0.2710212284
745	0.270944476
746	0.2708297694
747	0.2707936063
748	0.2707155668
749	0.2698983408
750	0.2698383272
751	0.2697763
752	0.2696968243
753	0.2696291132
754	0.2695546242
755	0.2694909551
756	0.2694369508
757	0.2686350988
758	0.2685641815
759	0.2684750555
760	0.2684072268
761	0.2683086208
762	0.2682118498
763	0.2681167314
764	0.2680171909
765	0.2679404112
766	0.2678126907
767	0.2677443539
768	0.267686186
769	0.2676136203
770	0.2675556666
771	0.2674980424
772	0.2674176239
773	0.2666762768
774	0.2665909199
775	0.266533997
776	0.2664378497
777	0.2663574123
778	0.2662935101
779	0.2662120796
780	0.2658579191
781	0.2657743154
782	0.2657058001
783	0.2656587584
784	0.2655543152
785	0.2654854577
786	0.2654518898
787	0.2653414771
788	0.265261361
789	0.2651822065
790	0.2651325759
791	0.2650464463
792	0.2649295539
793	0.2648733828
794	0.2647956162
795	0.2647296563
796	0.2646884329
797	0.2646018245
798	0.2645332399
799	0.2644616402
800	0.2637765335
801	0.2637333952
802	0.2636613041
803	0.2635856373
804	0.263495745
805	0.26339455
806	0.2633297595
807	0.2632393528
808	0.2631823523
809	0.2631276194
810	0.2630318605
811	0.2629239843
812	0.2628394168
813	0.2627662822
814	0.2627073541
815	0.2626355948
816	0.2625656181
817	0.2625209617
818	0.2624063643
819	0.2623235942
820	0.2622640383
821	0.2622132256
822	0.2621444899
823	0.2615099062
824	0.2614357784
825	0.2613929634
826	0.2613568822
827	0.2613002239
828	0.261219797
829	0.2611508891
830	0.2610949951
831	0.2609967313
832	0.2602442642
833	0.2601960404
834	0.2601208628
835	0.2600631883
836	0.2599785893
837	0.2598913846
838	0.2598053389
839	0.259756838
840	0.259715392
841	0.2596548598
842	0.2596221507
843	0.259508011
844	0.2594235254
845	0.2593624641
846	0.259286982
847	0.2592548251
848	0.2591763089
849	0.2590746604
850	0.259024129
851	0.258971899
852	0.2588972274
853	0.2588204036
854	0.2581245633
855	0.257977007
856	0.2579325143
857	0.2578696263
858	0.2578020201
859	0.2577570719
860	0.2576713874
861	0.257591771
862	0.2575297647
863	0.2574497515
864	0.2573773035
865	0.257304509
866	0.2572346583
867	0.257154832
868	0.2570974493
869	0.2570161909
870	0.2569546928
871	0.2569037877
872	0.2568390183
873	0.2567995776
874	0.2567658375
875	0.2567304009
876	0.2566304825
877	0.2565781874
878	0.256524792
879	0.2564481593
880	0.2563932753
881	0.2562918388
882	0.2562384561
883	0.2561773821
884	0.2561195942
885	0.2560579155
886	0.2559823873
887	0.2553506382
888	0.2552996785
889	0.255237962
890	0.2551780345
891	0.2551011183
892	0.2550672628
893	0.2550086833
894	0.2549462214
895	0.2549082903
896	0.2548585632
897	0.2547962357
898	0.2547374441
899	0.2546948412
